11_000240,34,363,154,103,0.33103
11_000300,275,32,361,292,0.49082
11_000300,164,424,21,36,0.35626
12_000240,130,17,162,140,0.54398
12_000240,225,100,64,86,0.46299
12_000240,103,92,140,115,0.34959
12_000300,77,103,29,41,0.48604
12_000300,35,146,79,116,0.59462
12_000660,206,231,106,129,0.38601
12_000660,236,248,91,102,0.58382
12_000720,250,238,117,123,0.59278
13_000600,219,114,127,135,0.77469
13_000660,193,373,75,92,0.52531
14_000180,335,210,66,24,0.3251
14_000240,79,191,50,56,0.32675
15_000000,265,301,82,42,0.58731
15_000000,274,305,78,125,0.61514
15_000000,262,353,24,35,0.45936
15_000060,349,280,78,54,0.586
15_000060,360,326,77,104,0.65673
15_000480,313,323,20,66,0.38776
15_000480,269,354,62,111,0.69054
16_000000,162,70,470,142,0.23832
16_000000,35,35,597,295,0.27671
16_000000,258,387,25,78,0.54306
16_000000,286,383,79,82,0.62793
16_000060,129,152,55,152,0.44954
16_000060,162,157,116,154,0.71895
16_000060,562,328,73,138,0.53312
16_000120,437,57,195,293,0.4966
16_000120,94,231,139,154,0.83468
16_000120,78,229,69,119,0.54006
16_000480,206,236,60,104,0.5306
16_000480,219,238,123,139,0.79813
16_000540,101,124,97,182,0.31489
16_000540,118,128,193,221,0.79072
16_000540,92,126,85,166,0.54392
17_000060,227,17,168,99,0.44135
17_000060,36,111,574,355,0.19683
17_000060,37,12,276,217,0.22611
17_000060,271,12,366,454,0.16814
17_000060,279,284,108,95,0.41039
17_000060,60,257,331,209,0.46723
17_000060,242,286,303,179,0.35501
17_000120,278,12,138,86,0.50042
17_000120,219,138,417,270,0.22778
17_000120,36,225,366,241,0.47804
17_000120,474,329,163,137,0.42788
17_000120,257,262,300,204,0.36107
17_000120,65,12,151,72,0.36687
18_000120,261,152,102,44,0.26625
18_000120,382,198,55,45,0.15151
18_000120,34,64,333,269,0.32581
18_000120,416,317,51,46,0.42316
18_000120,243,146,391,320,0.30981
18_000180,437,323,195,143,0.20364
18_000660,493,159,66,37,0.49127
18_000660,34,19,290,244,0.2745
18_000660,236,12,397,249,0.26903
18_000660,35,77,314,302,0.15924
18_000660,416,107,220,252,0.28297
18_000660,37,316,599,150,0.15287
18_000660,412,62,47,33,0.3409
18_000720,372,61,116,45,0.39708
18_000720,34,12,362,233,0.26869
18_000720,67,62,407,237,0.17892
18_000720,395,90,240,329,0.42107
18_000720,34,228,602,238,0.14795
18_000720,37,407,95,59,0.031041
18_000720,542,12,87,47,0.40664
21_000060,322,12,315,377,0.31635
21_000060,68,143,34,67,0.2048
21_000060,227,12,313,278,0.24706
21_000060,37,183,215,240,0.37067
21_000060,264,189,375,277,0.3123
21_000060,39,109,496,357,0.34118
21_000060,35,12,282,269,0.39377
21_000120,88,35,457,297,0.36179
21_000120,49,196,281,270,0.29654
21_000120,395,283,17,39,0.25155
21_000120,323,297,28,36,0.27393
21_000120,34,160,180,306,0.33747
21_000120,278,68,353,397,0.32004
21_000120,348,152,288,314,0.47057
2_000120,388,175,27,60,0.44089
2_000180,533,45,20,58,0.19968
3_000540,154,154,157,277,0.61099
3_001020,309,12,154,211,0.61455
5_000000,282,348,133,102,0.64679
5_000000,283,392,44,52,0.49165
5_000360,256,201,74,52,0.3564
5_000360,221,165,175,179,0.78477
5_000420,224,250,124,147,0.29632
5_000420,303,263,68,113,0.56983
5_000420,250,277,123,124,0.50045
5_000720,281,314,82,99,0.53805
5_000720,301,288,130,128,0.59574
6_000000,218,238,82,89,0.42208
6_000000,254,217,109,119,0.69847
6_000360,199,256,74,95,0.51487
6_000360,148,255,114,107,0.48022
6_000360,311,389,277,77,0.43712
6_000420,284,276,71,100,0.52493
6_000420,237,323,83,58,0.618
7_000180,356,399,148,66,0.63998
7_000360,362,359,46,95,0.3651
7_000360,364,327,131,138,0.65572
7_000660,282,251,80,38,0.53152
7_000660,258,281,121,118,0.77141
7_000720,282,272,83,35,0.51148
7_000720,261,298,121,117,0.77475
8_000180,283,247,85,49,0.56192
8_000180,215,281,148,71,0.66448
