10_000000,364,365,274,101,0.10535
10_000060,139,12,324,211,0.27371
10_000120,37,12,486,158,0.064414
10_000180,40,12,247,114,0.17823
10_000240,64,12,259,202,0.32861
10_000300,207,12,430,453,0.35106
10_000360,272,437,52,28,0.40407
10_000420,313,12,236,153,0.33641
10_000480,37,12,289,173,0.16586
10_000540,41,12,595,111,0.12268
10_000600,428,27,27,33,0.47069
10_000660,541,12,95,250,0.18102
10_000720,36,12,346,181,0.078006
10_000780,77,398,116,68,0.34651
10_000840,222,365,317,115,0.11123
11_000000,35,288,370,178,0.1537
11_000060,35,386,157,80,0.1949
11_000120,36,12,414,150,0.49971
11_000180,36,181,194,285,0.10044
11_000240,34,363,154,103,0.2474
11_000300,275,12,361,178,0.27416
11_000360,132,12,249,246,0.27766
11_000420,275,12,287,215,0.349
11_000480,312,12,309,237,0.088622
11_000540,35,342,126,124,0.23531
11_000600,35,337,100,129,0.2503
11_000660,223,12,74,61,0.2904
11_000720,411,316,222,150,0.3737
12_000000,229,12,241,228,0.30961
12_000060,330,164,244,301,0.26724
12_000120,516,348,85,118,0.116
12_000180,515,12,20,16,0.41399
12_000240,97,14,116,168,0.091414
12_000300,45,429,33,29,0.10805
12_000360,241,12,293,150,0.13769
12_000420,41,12,251,185,0.15115
12_000480,151,12,482,88,0.23388
12_000540,330,12,302,178,0.53621
12_000600,38,12,120,256,0.16199
12_000660,528,12,105,63,0.39994
12_000720,37,275,159,191,0.11518
12_000780,37,12,224,249,0.11377
12_000840,519,12,114,79,0.41008
13_000000,37,12,69,23,0.37461
13_000060,595,22,37,48,0.47454
13_000120,34,12,598,158,0.48372
13_000180,34,12,493,178,0.4752
13_000240,34,12,192,269,0.099512
13_000300,585,12,48,75,0.36974
13_000360,114,17,21,12,0.11758
13_000420,99,12,302,137,0.29754
13_000480,38,12,234,279,0.30982
13_000540,285,12,263,243,0.27703
13_000600,326,12,308,147,0.16932
13_000660,257,12,15,10,0.39067
13_000720,187,12,350,194,0.055655
13_000780,236,12,171,203,0.09514
13_000840,272,12,202,261,0.31503
13_000900,178,296,346,169,0.29748
13_000960,54,12,497,103,0.19305
14_000000,380,268,202,187,0.31722
14_000060,143,12,239,149,0.10156
14_000120,166,12,240,171,0.30267
14_000180,480,212,155,254,0.12049
14_000240,69,280,182,186,0.1228
14_000300,371,339,183,126,0.20015
14_000360,417,12,57,39,0.14575
14_000420,232,12,403,172,0.1042
14_000480,108,12,381,94,0.33347
14_000540,243,264,395,202,0.079524
14_000600,97,12,260,215,0.28869
15_000000,370,12,264,107,0.12233
15_000060,38,268,283,198,0.12526
15_000120,294,12,339,135,0.089828
15_000180,37,12,164,175,0.13227
15_000240,271,12,364,161,0.10773
15_000300,196,12,222,137,0.11866
15_000360,38,12,207,355,0.10691
15_000420,37,12,354,159,0.29122
15_000480,388,158,248,308,0.073837
16_000000,112,12,520,82,0.081712
16_000060,73,16,333,239,0.05094
16_000120,464,58,20,24,0.10867
16_000180,434,273,201,193,0.11601
16_000240,151,12,62,53,0.22254
16_000300,70,23,24,28,0.29724
16_000360,36,12,247,113,0.26263
16_000420,36,14,25,34,0.29459
16_000480,37,12,20,9,0.34827
16_000540,40,12,252,151,0.29222
16_000600,111,12,27,18,0.17065
16_000660,96,12,79,129,0.29718
16_000720,151,12,42,44,0.14068
16_000780,491,18,51,27,0.32433
17_000000,203,291,286,174,0.42016
17_000060,409,12,188,63,0.36339
17_000120,464,12,93,45,0.35169
17_000180,445,12,107,31,0.43486
17_000240,429,12,90,26,0.34648
17_000300,608,12,24,40,0.40327
17_000360,247,12,310,105,0.13669
17_000420,162,20,44,22,0.30294
17_000480,582,12,55,201,0.28265
18_000000,38,244,315,222,0.091291
18_000060,381,340,257,126,0.31394
18_000120,42,340,246,126,0.10591
18_000180,551,434,71,32,0.12685
18_000240,71,330,374,135,0.33986
18_000300,92,360,509,106,0.13782
18_000360,190,170,423,295,0.091028
18_000420,451,12,81,27,0.36641
18_000480,117,12,218,413,0.28613
18_000540,295,333,337,133,0.1892
18_000600,39,399,80,67,0.18516
18_000660,290,357,321,109,0.24264
18_000720,542,12,87,47,0.45889
18_000780,41,334,353,132,0.11613
19_000000,37,12,204,256,0.40415
19_000060,231,12,45,30,0.37035
19_000120,435,397,100,68,0.50464
19_000180,317,317,318,149,0.1838
19_000240,167,360,121,105,0.28373
19_000300,34,145,254,294,0.40763
19_000360,36,198,338,267,0.30559
19_000420,159,12,286,130,0.39916
19_000480,389,360,244,106,0.22088
19_000540,42,343,42,123,0.21072
19_000600,258,17,45,63,0.29585
1_000000,36,286,159,180,0.17773
1_000060,51,72,77,33,0.35849
1_000120,478,263,161,203,0.25369
1_000180,145,294,88,103,0.58924
1_000240,37,277,342,189,0.085844
1_000300,516,12,72,24,0.67982
1_000360,209,262,230,203,0.3145
1_000420,37,243,467,223,0.090608
1_000480,34,12,100,54,0.37644
1_000540,86,12,306,80,0.1429
1_000600,305,240,334,226,0.16248
1_000660,39,232,419,234,0.27349
1_000720,304,12,328,86,0.31114
1_000780,252,12,371,170,0.27789
20_000000,35,12,148,161,0.18303
20_000060,238,367,292,98,0.13845
20_000120,193,12,405,165,0.13061
20_000180,94,12,358,128,0.11635
20_000240,238,320,333,146,0.099949
20_000300,578,34,6,5,0.34602
21_000000,221,12,89,33,0.37594
21_000060,573,385,20,81,0.2713
21_000120,493,152,143,314,0.26535
21_000180,446,12,186,78,0.48234
21_000240,51,395,24,40,0.25398
2_000000,203,12,312,227,0.33183
2_000060,573,12,58,44,0.39376
2_000120,314,289,323,177,0.11367
2_000180,48,245,239,221,0.3203
2_000240,363,131,274,335,0.047343
3_000000,241,12,393,144,0.31115
3_000060,37,382,423,84,0.16817
3_000120,369,330,266,136,0.12484
3_000180,57,37,47,35,0.21242
3_000240,37,109,342,357,0.25825
3_000300,237,237,195,228,0.43806
3_000360,177,12,271,97,0.14158
3_000420,272,24,6,15,0.39151
3_000480,586,23,47,34,0.083377
3_000540,38,12,171,146,0.19156
3_000600,171,12,62,39,0.27549
3_000660,245,214,311,252,0.28693
3_000720,459,12,61,63,0.23324
3_000780,359,12,279,178,0.13136
3_000840,180,53,39,31,0.10728
3_000900,183,44,18,21,0.090476
3_000960,464,411,20,18,0.11251
3_001020,191,12,135,227,0.15342
4_000000,567,15,67,127,0.089623
4_000060,261,12,372,177,0.31372
4_000120,194,12,292,200,0.26498
4_000180,73,12,375,101,0.12354
4_000240,38,12,262,170,0.13905
4_000300,87,285,202,177,0.62655
4_000360,447,12,187,213,0.15692
4_000420,424,12,210,232,0.34953
4_000480,63,12,249,231,0.26764
4_000540,191,12,442,190,0.28539
5_000000,543,448,23,18,0.21574
5_000060,36,328,320,138,0.3289
5_000120,427,12,205,177,0.38207
5_000180,400,12,232,279,0.37268
5_000240,203,12,298,288,0.29011
5_000300,246,12,352,207,0.1409
5_000360,39,12,224,297,0.3508
5_000420,458,12,174,290,0.38918
5_000480,346,396,66,69,0.23652
5_000540,435,12,197,101,0.36265
5_000600,38,12,265,230,0.10608
5_000660,471,12,161,130,0.37674
5_000720,361,12,271,161,0.3345
6_000000,145,260,354,205,0.26297
6_000060,36,12,253,113,0.12855
6_000120,37,12,153,313,0.10223
6_000180,153,12,321,180,0.28227
6_000240,246,12,261,164,0.12386
6_000300,39,259,357,207,0.2957
6_000360,36,12,240,222,0.34345
6_000420,35,12,274,165,0.33742
6_000480,524,12,108,258,0.6
7_000000,390,447,29,18,0.21208
7_000060,169,12,200,131,0.21042
7_000120,38,12,250,266,0.080884
7_000180,35,12,508,135,0.3071
7_000240,308,12,300,326,0.26259
7_000300,214,332,235,133,0.10992
7_000360,287,12,346,132,0.12447
7_000420,110,39,240,293,0.090415
7_000480,40,12,197,151,0.13457
7_000540,428,12,134,170,0.54464
7_000600,198,12,303,196,0.30722
7_000660,195,247,267,218,0.26361
7_000720,375,12,257,195,0.32172
7_000780,38,275,281,191,0.28559
8_000000,120,16,17,17,0.086505
8_000060,36,12,131,161,0.1618
8_000120,194,12,360,191,0.33148
8_000180,213,20,10,19,0.16211
8_000240,492,12,48,39,0.14334
8_000300,521,22,15,25,0.28897
8_000360,180,222,271,243,0.10753
8_000420,39,12,249,312,0.096785
8_000480,269,12,278,287,0.070376
8_000540,483,12,24,23,0.37332
8_000600,477,12,64,52,0.11878
8_000660,186,324,291,141,0.31149
8_000720,41,12,253,190,0.20702
8_000780,580,385,54,81,0.063557
8_000840,443,12,195,129,0.14058
8_000900,39,12,325,115,0.19215
8_000960,369,12,269,190,0.10723
8_001020,327,242,285,224,0.28418
8_001080,108,423,94,43,0.10965
9_000000,36,12,296,171,0.11974
9_000060,43,304,336,162,0.12821
9_000120,184,12,451,214,0.54375
9_000180,42,12,450,146,0.12947
9_000240,35,12,329,260,0.277
9_000300,112,12,344,133,0.13658
9_000360,400,12,232,216,0.29533
9_000420,145,12,309,115,0.3252
9_000480,39,369,261,97,0.23705
9_000540,199,12,83,33,0.39537
9_000600,143,12,175,148,0.44074
9_000660,533,431,104,35,0.15258
9_000720,127,12,345,117,0.10053
