10_000000,213,341,297,109,0.13132
10_000060,244,287,313,145,0.12235
10_000120,284,376,350,90,0.14938
10_000180,203,125,390,193,0.049363
10_000480,222,271,323,111,0.029267
10_000540,284,146,343,129,0.049776
11_000300,373,119,263,205,0.080298
11_000360,299,42,229,259,0.090694
11_000420,287,93,193,223,0.13329
11_000480,221,82,240,252,0.05942
11_000600,171,153,203,258,0.15123
12_000120,77,242,154,123,0.2248
12_000180,141,245,117,124,0.032405
13_000480,101,145,55,127,0.24243
13_000780,121,135,47,94,0.13401
14_000480,272,159,244,118,0.32581
15_000360,73,12,282,355,0.027244
16_000000,162,70,470,142,0.0076067
16_000120,450,42,182,308,0.11676
16_000240,348,22,269,266,0.0077464
16_000300,480,18,152,237,0.08201
16_000660,149,12,408,214,0.0097683
16_000720,330,37,302,294,0.050915
17_000000,98,242,273,196,0.1083
17_000060,60,257,331,209,0.067789
17_000120,36,140,329,326,0.014685
17_000180,86,229,269,175,0.1126
17_000240,36,238,338,227,0.072611
17_000480,35,103,200,238,0.081437
18_000300,308,157,198,123,0.32646
18_000360,279,37,272,401,0.051964
18_000720,372,61,116,45,0.031007
18_000720,34,12,362,227,0.0038102
19_000120,36,169,525,150,0.034195
19_000360,116,133,486,333,0.012342
20_000180,128,119,255,198,0.084948
21_000060,34,12,283,111,0.021596
21_000240,152,61,380,231,0.007302
3_000180,274,184,122,218,0.28903
3_000420,214,12,176,273,0.11063
3_000480,376,71,162,296,0.19722
3_000540,156,94,162,332,0.051411
3_000600,347,12,175,295,0.22105
3_000840,68,160,171,271,0.33587
3_000900,74,180,159,242,0.23987
3_000960,180,107,136,253,0.245
3_001020,309,12,154,211,0.23762
4_000180,498,245,135,195,0.0048115
6_000360,148,255,114,107,0.10584
9_000120,184,12,451,214,0.0064737
9_000240,250,109,300,155,0.03436
9_000600,57,127,304,182,0.0037165
9_000660,35,325,452,141,0.043155
