10_000000,36,12,317,275,0.34873
10_000000,38,233,526,119,0.36115
10_000000,364,142,274,324,0.22139
10_000000,201,313,264,73,0.49588
10_000000,35,304,246,162,0.31849
10_000000,213,341,297,109,0.69885
10_000000,156,399,215,66,0.32389
10_000000,248,12,289,256,0.33931
10_000060,36,12,404,228,0.3038
10_000060,585,120,48,176,0.2968
10_000060,38,139,581,190,0.31731
10_000060,197,296,213,75,0.48346
10_000060,34,316,280,150,0.3292
10_000060,244,287,313,145,0.67794
10_000060,207,12,380,226,0.3128
10_000120,173,12,350,279,0.31547
10_000120,291,12,347,261,0.32738
10_000120,37,12,263,306,0.32225
10_000120,297,343,307,68,0.28332
10_000120,527,341,108,73,0.46914
10_000120,34,377,350,89,0.18338
10_000120,284,376,350,90,0.7333
10_000180,198,128,197,78,0.50996
10_000180,35,127,338,170,0.33959
10_000180,203,125,390,193,0.72482
10_000180,117,216,255,127,0.30208
10_000180,40,271,511,195,0.10667
10_000240,303,12,335,353,0.24777
10_000240,239,12,335,287,0.32816
10_000240,509,104,123,141,0.69267
10_000240,166,215,446,250,0.33937
10_000240,279,298,51,79,0.19903
10_000240,64,12,246,278,0.25331
10_000300,223,12,312,174,0.49394
10_000300,398,12,238,333,0.31988
10_000300,167,12,336,429,0.28807
10_000300,207,139,431,326,0.45284
10_000300,125,12,258,396,0.29278
10_000300,32,328,199,138,0.32267
10_000300,431,401,201,65,0.61401
10_000360,403,12,235,305,0.2907
10_000360,205,12,200,407,0.43145
10_000360,279,12,190,453,0.40447
10_000360,567,318,65,99,0.76083
10_000360,485,369,149,97,0.3692
10_000360,101,12,147,373,0.50177
10_000420,276,37,44,94,0.47515
10_000420,313,12,325,171,0.19453
10_000420,33,52,287,378,0.31082
10_000420,479,265,154,104,0.78372
10_000420,235,214,327,156,0.34495
10_000420,138,283,499,183,0.27487
10_000420,40,388,570,78,0.17215
10_000480,37,12,298,173,0.33846
10_000480,93,12,497,152,0.32599
10_000480,38,150,590,108,0.36894
10_000480,471,233,166,130,0.30274
10_000480,169,239,321,79,0.51584
10_000480,35,247,332,155,0.31636
10_000480,222,271,323,111,0.6123
10_000540,38,43,600,141,0.32395
10_000540,516,127,119,112,0.36372
10_000540,35,160,311,165,0.30669
10_000540,274,146,353,129,0.76256
10_000540,231,215,204,99,0.22731
10_000540,38,246,330,220,0.34521
10_000540,41,12,595,111,0.12268
10_000600,100,12,355,238,0.33124
10_000600,453,171,49,52,0.44942
10_000600,587,199,46,116,0.18523
10_000600,38,174,306,237,0.31293
10_000600,36,12,454,321,0.28577
10_000600,39,304,506,162,0.49381
10_000600,181,217,454,249,0.46601
10_000660,38,12,236,191,0.36257
10_000660,541,12,95,250,0.18104
10_000660,420,195,129,57,0.59204
10_000660,40,188,278,123,0.5046
10_000660,34,149,516,261,0.40293
10_000660,44,327,443,139,0.11146
10_000720,37,63,435,207,0.32876
10_000720,39,245,519,115,0.51128
10_000720,35,241,599,225,0.45741
10_000720,188,371,135,73,0.43282
10_000720,117,401,333,64,0.58286
10_000720,36,12,461,238,0.33933
10_000780,36,12,282,324,0.31953
10_000780,338,117,52,45,0.33274
10_000780,42,83,329,212,0.29289
10_000780,517,181,114,71,0.4767
10_000780,39,240,397,198,0.3881
10_000780,36,120,598,346,0.34802
11_000000,33,12,138,138,0.48674
11_000000,363,19,269,278,0.55172
11_000000,131,278,65,52,0.33631
11_000000,39,12,416,425,0.27889
11_000000,230,303,107,135,0.12783
11_000000,258,259,375,207,0.26027
11_000000,35,288,485,178,0.31812
11_000000,114,12,235,332,0.34468
11_000060,243,12,387,150,0.5465
11_000060,38,12,327,453,0.29461
11_000060,37,124,237,248,0.42663
11_000060,270,200,81,137,0.22903
11_000060,341,115,292,351,0.35964
11_000060,200,221,299,244,0.34263
11_000060,35,386,157,80,0.21025
11_000060,34,32,52,102,0.3581
11_000120,412,77,43,48,0.36744
11_000120,370,86,265,374,0.27761
11_000120,33,12,224,336,0.34824
11_000120,74,12,556,225,0.51501
11_000120,225,144,375,321,0.29687
11_000120,413,321,220,145,0.1917
11_000120,34,288,295,178,0.31345
11_000120,505,22,49,53,0.29495
11_000180,76,12,555,237,0.48878
11_000180,529,144,54,43,0.3589
11_000180,145,93,487,227,0.30284
11_000180,102,215,64,70,0.22014
11_000180,429,228,206,238,0.16352
11_000180,184,248,275,217,0.34952
11_000180,36,181,194,285,0.10044
11_000240,109,14,318,451,0.26128
