10_000000,216,341,198,60,0.028825412
10_000060,461,315,45,36,0.027283483
10_000060,244,320,204,55,0.028574883
10_000120,284,343,339,105,0.031757016
10_000180,583,123,41,15,0.002953667
10_000180,203,173,237,67,0.018773805
10_000420,294,44,26,41,2.55E-04
10_000480,222,271,195,62,0.029453811
10_000540,284,168,208,69,0.05511849
10_000600,481,217,152,183,0.31259576
10_000660,465,195,49,28,0.042057767
10_000660,292,193,129,125,0.089000793
10_000660,181,353,37,50,0.035442974
10_000780,286,406,33,34,0.017443649
11_000000,458,19,172,106,0.056917868
11_000000,230,303,107,135,0.001251177
11_000060,243,12,153,53,0.035376535
11_000060,128,160,110,212,0.11587936
11_000060,47,306,95,65,0.431548542
11_000180,503,362,45,93,0.178901912
11_000360,365,353,49,45,0.026873778
11_000420,250,230,55,55,0.002919894
11_000420,391,275,97,90,0.031934185
11_000480,240,119,206,167,0.10955662
11_000480,136,234,81,85,0.011082153
11_000540,439,82,173,113,0.013018146
11_000540,232,151,108,107,0.124328136
11_000540,156,256,133,149,0.304014107
12_000000,133,294,113,128,0.424434075
12_000060,176,227,124,112,0.335627809
12_000120,77,242,154,128,0.278559817
12_000180,107,185,151,199,0.88369092
12_000360,305,115,125,144,0.417388815
12_000420,85,151,128,150,0.48836739
12_000480,346,372,78,56,0.02473667
12_000540,309,377,10,14,0.004576429
12_000780,136,238,115,133,0.437126617
12_000840,178,244,111,124,0.119634526
13_000000,227,48,75,95,0.081048923
13_000120,353,152,113,83,0.322284723
13_000180,54,73,18,28,0.009745214
13_000180,367,97,112,81,0.321495764
13_000180,111,169,205,98,0.192355729
13_000240,245,130,38,57,0.032478151
13_000300,312,157,45,56,0.034707997
13_000300,123,224,70,63,0.005417431
13_000300,363,212,68,130,0.113484802
13_000300,200,295,47,84,0.014815172
13_000480,101,140,115,134,0.603029346
13_000720,141,12,137,49,0.023054943
13_000720,151,279,115,111,0.765679351
13_000780,121,108,118,133,0.539289811
13_000900,537,183,84,151,0.081174879
13_000900,332,364,185,101,0.020953822
13_000960,149,220,98,134,0.721234694
14_000000,90,330,73,24,0.056030636
14_000060,143,12,140,149,0.0079385
14_000060,397,229,176,77,0.405429866
14_000300,223,12,129,101,0.028473841
14_000300,501,76,70,56,0.066818604
14_000300,257,221,53,211,0.029745864
14_000360,102,61,30,75,0.058131757
14_000360,33,220,102,246,0.007709148
14_000420,70,278,199,99,0.148561617
14_000480,107,91,78,29,0.058862582
14_000540,264,231,81,24,0.044378966
15_000120,277,293,8,14,0.005063646
15_000180,292,244,31,32,0.026029454
15_000240,178,296,79,96,0.161489462
15_000360,271,236,84,131,0.139066433
15_000420,244,151,114,215,0.417790215
16_000120,509,99,116,186,0.012937728
16_000120,78,229,155,156,0.663751461
16_000180,406,240,144,164,0.560550164
16_000240,250,286,115,126,0.337178043
16_000360,544,444,11,10,0.011341263
16_000420,308,215,123,132,0.490997251
16_000600,280,236,110,119,0.909366672
16_000660,265,304,93,99,0.744654302
16_000780,272,12,184,71,0.009128719
17_000240,84,240,335,185,0.170057273
17_000300,248,176,131,143,0.091334449
17_000300,444,246,95,123,0.087991757
18_000000,177,183,168,102,0.029608834
18_000000,330,213,98,66,0.068608294
18_000060,468,172,66,25,0.002249002
18_000060,276,203,100,71,0.134257939
18_000240,331,257,124,90,0.118458009
18_000300,308,157,198,123,0.294643496
18_000300,135,209,90,28,0.054461024
18_000360,307,37,130,75,0.216785757
18_000420,159,18,42,34,0.00E+00
18_000420,427,153,72,79,0.361441975
18_000540,358,140,85,60,0.10663609
18_000600,267,97,133,87,0.217159475
18_000780,366,26,141,97,0.27033804
18_000780,93,12,247,62,0.017346759
