10_000000,36,12,317,275,0.25937
10_000000,38,233,526,119,0.25103
10_000000,364,142,274,324,0.24736
10_000000,201,313,264,73,0.42283
10_000000,35,304,246,162,0.21846
10_000000,213,341,297,109,0.60104
10_000000,156,399,215,66,0.20534
10_000000,248,12,289,256,0.21521
10_000060,36,12,404,228,0.21403
10_000060,585,120,48,176,0.4
10_000060,38,139,581,190,0.21431
10_000060,197,296,213,75,0.40506
10_000060,34,316,280,150,0.21153
10_000060,244,287,313,145,0.5865
10_000060,207,12,380,226,0.21207
10_000120,173,12,350,279,0.22614
10_000120,291,12,347,261,0.25602
10_000120,37,12,263,306,0.21952
10_000120,297,343,307,68,0.20817
10_000120,527,341,108,73,0.40655
10_000120,34,377,350,89,0.072804
10_000120,284,376,350,90,0.60432
10_000180,198,128,197,78,0.42469
10_000180,35,127,338,170,0.25188
10_000180,203,125,390,193,0.64586
10_000180,117,216,255,127,0.20837
10_000180,40,271,511,195,0.2
10_000240,303,12,335,353,0.22728
10_000240,239,12,335,287,0.24043
10_000240,509,104,123,141,0.6254
10_000240,166,215,446,250,0.25623
10_000240,279,298,51,79,0.19435
10_000240,64,12,246,278,0.38797
10_000300,223,12,312,174,0.62291
10_000300,398,12,238,333,0.33959
10_000300,167,12,336,429,0.23269
10_000300,207,139,431,326,0.38309
10_000300,125,12,258,396,0.23845
10_000300,32,328,199,138,0.42631
10_000300,431,401,201,65,0.70202
10_000360,403,12,235,305,0.2274
10_000360,205,12,200,407,0.3125
10_000360,279,12,190,453,0.33139
10_000360,567,318,65,99,0.68383
10_000360,485,369,149,97,0.44436
10_000360,101,12,147,373,0.40625
10_000420,276,37,44,94,0.40047
10_000420,313,12,325,171,0.20013
10_000420,33,52,287,378,0.21447
10_000420,479,265,154,104,0.71842
10_000420,235,214,327,156,0.247
10_000420,138,283,499,183,0.37213
10_000420,40,388,570,78,0.0767
10_000480,37,12,298,173,0.21663
10_000480,93,12,497,152,0.22453
10_000480,38,150,590,108,0.23444
10_000480,471,233,166,130,0.25978
10_000480,169,239,321,79,0.43311
10_000480,35,247,332,155,0.20818
10_000480,222,271,323,111,0.51814
10_000540,38,43,600,141,0.21948
10_000540,516,127,119,112,0.34909
10_000540,35,160,311,165,0.21585
10_000540,274,146,353,129,0.65874
10_000540,231,215,204,99,0.26707
10_000540,38,246,330,220,0.20967
10_000540,41,12,595,111,0.090251
10_000600,100,12,355,238,0.25978
10_000600,453,171,49,52,0.53372
10_000600,587,199,46,116,0.09476
10_000600,38,174,306,237,0.36227
10_000600,36,12,454,321,0.21827
10_000600,39,304,506,162,0.40278
10_000600,181,217,454,249,0.41662
10_000660,38,12,236,191,0.38824
10_000660,541,12,95,250,0.085135
10_000660,420,195,129,57,0.48145
10_000660,40,188,278,123,0.36786
10_000660,34,149,516,261,0.33931
10_000660,44,327,443,139,0.070343
10_000720,37,63,435,207,0.23426
10_000720,39,245,519,115,0.36815
10_000720,35,241,599,225,0.38301
10_000720,188,371,135,73,0.36569
10_000720,117,401,333,64,0.48371
10_000720,36,12,461,238,0.25503
10_000780,36,12,282,324,0.23665
10_000780,338,117,52,45,0.4
10_000780,42,83,329,212,0.2112
10_000780,517,181,114,71,0.4898
10_000780,39,240,397,198,0.30341
10_000780,36,120,598,346,0.29802
11_000000,33,12,138,138,0.51425
11_000000,363,19,269,278,0.44734
11_000000,131,278,65,52,0.26772
11_000000,39,12,416,425,0.2068
11_000000,230,303,107,135,0.18113
11_000000,258,259,375,207,0.41038
11_000000,35,288,485,178,0.48758
11_000000,114,12,235,332,0.24103
11_000060,243,12,387,150,0.45692
11_000060,38,12,327,453,0.20729
11_000060,37,124,237,248,0.32877
11_000060,270,200,81,137,0.33944
11_000060,341,115,292,351,0.24149
11_000060,200,221,299,244,0.37248
11_000060,35,386,157,80,0.19701
11_000060,34,32,52,102,0.40246
11_000120,412,77,43,48,0.28145
11_000120,370,86,265,374,0.20575
11_000120,33,12,224,336,0.20453
11_000120,74,12,556,225,0.23603
11_000120,225,144,375,321,0.21452
11_000120,413,321,220,145,0.12128
11_000120,34,288,295,178,0.45407
11_000120,505,22,49,53,0.24035
11_000180,76,12,555,237,0.45234
11_000180,529,144,54,43,0.35151
11_000180,145,93,487,227,0.20158
11_000180,102,215,64,70,0.14854
11_000180,429,228,206,238,0.051514
11_000180,184,248,275,217,0.22524
11_000180,36,181,194,285,0.2
11_000240,109,14,318,451,0.20324
11_000240,41,12,141,138,0.26285
11_000240,33,12,78,236,0.50165
11_000240,135,85,199,317,0.56491
11_000240,251,12,381,290,0.76886
11_000240,297,163,337,303,0.27031
11_000240,38,145,299,320,0.20776
11_000240,34,363,154,103,0.3318
11_000300,34,12,303,224,0.20564
11_000300,50,95,216,296,0.2234
11_000300,275,32,361,292,0.51203
11_000300,36,251,359,215,0.30233
11_000300,164,424,21,36,0.34862
11_000300,356,307,279,159,0.14524
11_000300,197,12,439,239,0.20966
11_000360,315,12,322,289,0.35581
11_000360,254,187,90,99,0.19666
11_000360,34,12,232,406,0.51422
11_000360,329,247,53,76,0.064278
11_000360,130,74,508,332,0.20542
11_000360,330,160,305,306,0.22845
11_000360,35,280,337,186,0.27911
11_000360,181,12,371,196,0.21419
11_000420,215,176,135,150,0.18886
11_000420,34,12,190,350,0.46799
11_000420,280,59,214,257,0.65898
11_000420,225,185,95,100,0.46889
11_000420,93,41,484,374,0.20844
11_000420,35,251,275,215,0.28511
11_000420,276,141,360,325,0.19009
11_000420,175,12,463,194,0.22944
11_000480,179,63,282,271,0.58408
11_000480,136,234,106,85,0.29016
11_000480,112,179,256,191,0.19793
11_000480,44,123,471,342,0.22341
11_000480,36,268,130,198,0.47892
11_000480,297,172,339,294,0.6105
11_000480,43,12,315,185,0.092527
11_000540,144,37,277,368,0.26002
11_000540,34,12,202,165,0.42148
11_000540,39,12,315,297,0.20499
11_000540,40,108,426,357,0.20606
11_000540,233,317,353,149,0.49145
11_000540,359,82,274,384,0.66719
11_000540,35,342,126,124,0.32057
11_000540,326,12,303,79,0.45261
11_000600,39,12,405,453,0.2168
11_000600,96,77,299,334,0.61321
11_000600,207,50,316,390,0.2093
11_000600,34,12,271,189,0.4833
11_000600,369,12,264,454,0.21485
11_000600,597,281,27,35,0.24412
11_000600,35,337,100,129,0.32495
11_000600,265,306,354,160,0.30243
11_000660,39,23,309,423,0.22367
11_000660,33,12,264,224,0.46357
11_000660,187,34,272,366,0.2429
11_000660,335,12,298,379,0.3599
11_000660,276,312,358,154,0.15458
11_000660,39,141,448,324,0.20396
11_000660,35,368,79,98,0.34029
